Our	O
study	O
provided	O
an	O
interesting	O
hypothesis	O
that	O
those	O
miRNAs	O
,	O
that	O
is	O
,	O
hsa	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
628	I-MRNA
-	I-MRNA
5p	I-MRNA
,	O
hsa	O
-	O
miR	O
-	O
6804	O
-	O
3p	O
,	O
hsa	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
4289	I-MRNA
,	O
hsa	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
208a	I-MRNA
-	O
3p	O
,	O
hsa	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
510	I-MRNA
-	O
3p	O
,	O
hsa	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
18a	I-MRNA
-	I-MRNA
3p	I-MRNA
,	O
hsa	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
329	I-MRNA
-	O
3p	O
,	O
hsa	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
548ax	I-MRNA
,	O
hsa	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
3934	I-MRNA
-	O
5p	O
,	O
hsa	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
4474	I-MRNA
-	I-MRNA
5p	I-MRNA
,	O
hsa	O
-	O
miR	O
-	O
7974	O
,	O
hsa	O
-	O
miR	O
-	O
6865	O
-	O
5p	O
,	O
and	O
hsa	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
342	I-MRNA
-	I-MRNA
3p	I-MRNA
,	O
would	O
be	O
antiviral	O
therapeutics	O
against	O
MERS	O
-	O
CoV	O
infection	O
.	O

Seven	O
highly	O
expressed	O
miRNAs	O
(	O
gga	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
30d	I-MRNA
,	O
gga	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
1454	I-MRNA
,	O
gga	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
7b	I-MRNA
,	O
gga	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
215	I-MRNA
-	O
5p	O
,	O
gga	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
1a	I-MRNA
-	O
3p	O
,	O
gga	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
3538	I-MRNA
and	O
gga	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
2954	I-MRNA
)	O
were	O
selected	O
for	O
miRNA	O
-	O
mRNA	O
conjoint	O
analysis	O
.	O

Among	O
the	O
9	O
significantly	O
deregulated	O
microRNAs	O
,	O
miR	B-MRNA
-	I-MRNA
17	I-MRNA
-	O
5p	O
was	O
upregulated	O
in	O
patients	O
'	O
BALF	O
and	O
in	O
EVs	O
of	O
IAV	O
-	O
infected	O
lung	O
epithelial	O
cells	O
(	O
A549	O
).	O

In	O
these	O
cells	O
,	O
transfer	O
of	O
miR	B-MRNA
-	I-MRNA
17	I-MRNA
-	O
5p	O
strongly	O
downregulated	O
expression	O
of	O
the	O
antiviral	O
factor	O
Mx1	O
and	O
significantly	O
enhanced	O
IAV	O
replication	O
.	O

In	O
previous	O
studies	O
,	O
we	O
have	O
revealed	O
that	O
IBV	O
infection	O
caused	O
a	O
significant	O
down	O
-	O
regulation	O
of	O
gga	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
30d	I-MRNA
expression	O
in	O
chicken	O
kidneys	O
.	O

Contrarily	O
,	O
low	O
-	O
expressed	O
gga	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
30d	I-MRNA
promoted	O
IBV	O
replication	O
.	O

In	O
addition	O
,	O
dual	O
-	O
luciferase	O
reporter	O
assays	O
revealed	O
that	O
ubiquitin	O
-	O
specific	O
protease	O
47	O
(	O
USP47	O
),	O
a	O
deubiquitinase	O
-	O
encoding	O
gene	O
,	O
was	O
a	O
target	O
for	O
gga	B-MRNA
-	I-MRNA
miR	I-MRNA
-	I-MRNA
30d	I-MRNA
.	O

