TITLE	O
:	O
Identification	O
of	O
a	O
bovine	B-SPEC
coronavirus	B-SPEC
packaging	O
signal	O
.	O

ABSTRACT	O
:	O
A	O
region	O
of	O
the	O
bovine	B-SPEC
coronavirus	B-SPEC
(	O
BCV	B-SPEC
)	O
genome	O
that	O
functions	O
as	O
a	O
packaging	O
signal	O
has	O
been	O
cloned	O
.	O

The	O
291	O
-	O
nucleotide	B-CHED
clone	O
shares	O
72	O
%	O
homology	O
with	O
the	O
region	O
of	O
mouse	B-DISO
hepatitis	I-DISO
coronavirus	B-SPEC
(	O
MHV	B-SPEC
)	O
gene	O
1b	O
that	O
contains	O
the	O
packaging	O
signal	O
.	O

RNA	O
transcripts	O
were	O
packaged	O
into	O
both	O
BCV	B-SPEC
and	O
MHV	B-SPEC
virions	B-COMP
when	O
the	O
cloned	O
region	O
was	O
appended	O
to	O
a	O
noncoronavirus	O
RNA	O
.	O

